PNR,PNR_CREATE_DT,NUM_IN_PARTY,CHANNEL,ORIGIN,DEST,OD,NUM_SEGMENTS,PNR_DEPARTURE_DATE,PNR_RETURN_DATE,BUSINESS_PROBABILITY,BLEISURE_PROBABILITY,VFR_PROBABILITY,VACATION_PROBABILITY,PERSONAL_PROBABILITY,REVENUE,ADVANCED_PURCHASE,ROUNDTRIP,NONSTOP,REVENUE_PER_PERSON,TRAVEL_TYPE,departure_month,departure_month_name,LENGTH_OF_STAY,WEEKEND_DEPARTURE,WEEKEND_ARRIVAL,TRAVEL_DISTANCE,Distance_Bin,Holiday_Departure,Holiday_Return,Cumulative_Booking_Count,BOOKING_WINDOW
B294608,2022-08-11,2,OTA,LAX,PHF,LAX-PHF,1,2022-09-26,,0.0761,0.0822,0.5277,0.2712,0.0428,235.35,46,False,True,117.675,VFR,9,September,,False,,2353.0,2000-3000,,,0,21+ days
A462393,2022-08-15,2,DIRECT,FAR,STL,FAR-STL,1,2022-08-30,,0.0257,0.0195,0.8131,0.0604,0.0813,274.42,15,False,True,137.21,VFR,8,August,,False,,652.0,500-1000,,,0,15-21 days
B475743,2022-11-01,2,DIRECT,SAT,JAX,SAT-JAX,2,2022-11-12,2022-11-13,0.086,0.0556,0.6985,0.082,0.078,212.09,11,True,False,106.045,VFR,11,November,1 days,True,1.0,1007.0,1000-1500,Veterans Day,Veterans Day,3,8-14 days
E284282,2022-07-08,2,DIRECT,SRQ,DAY,SRQ-DAY,1,2022-11-07,,0.0257,0.062,0.2356,0.6272,0.0494,180.47,122,False,True,90.235,VACATION,11,November,,False,,867.0,500-1000,,,0,21+ days
E305587,2022-10-15,2,DIRECT,XNA,RSW,XNA-RSW,2,2022-10-16,2022-10-25,0.0722,0.0754,0.4472,0.1418,0.2634,346.05,1,True,False,173.025,VFR,10,October,9 days,True,0.0,999.0,500-1000,,,3,1-7 days
B33653,2022-07-15,4,DIRECT,LCH,ABQ,LCH-ABQ,1,2022-08-26,,0.0054,0.0345,0.7555,0.1744,0.0302,286.52,42,False,True,71.63,VFR,8,August,,True,,850.0,500-1000,,,0,21+ days
B667679,2022-07-31,2,DIRECT,PHX,SGF,PHX-SGF,1,2022-09-23,,0.0999,0.0422,0.63,0.1538,0.0741,451.16,54,False,True,225.58,VFR,9,September,,True,,1082.0,1000-1500,,,0,21+ days
A349720,2022-05-05,2,DIRECT,DFW,SDF,DFW-SDF,1,2022-07-16,,0.0112,0.0445,0.2208,0.6958,0.0277,275.74,72,False,True,137.87,VACATION,7,July,,True,,733.0,500-1000,,,8,21+ days
D813546,2022-09-18,2,DIRECT,MIA,PHL,MIA-PHL,1,2022-10-19,,0.0112,0.0557,0.8318,0.065,0.0363,100.48,31,False,True,50.24,VFR,10,October,,False,,1013.0,1000-1500,,,23,21+ days
A618302,2022-03-08,1,BUSINESS,CMH,PHL,CMH-PHL,1,2022-11-13,,0.0885,0.0878,0.2182,0.542,0.0635,169.3,250,False,True,169.3,VACATION,11,November,,True,,406.0,0-500,Veterans Day,,1,21+ days
E291227,2022-09-28,2,DIRECT,BOS,PNS,BOS-PNS,1,2022-11-02,,0.1241,0.0929,0.5271,0.219,0.0369,126.51,35,False,True,63.255,VFR,11,November,,False,,1215.0,1000-1500,,,2,21+ days
C241381,2022-05-23,2,DIRECT,BTV,BNA,BTV-BNA,1,2022-07-10,,0.0794,0.0734,0.5925,0.1707,0.084,231.63,48,False,True,115.815,VFR,7,July,,True,,916.0,500-1000,,,0,21+ days
E264302,2022-06-15,2,DIRECT,DCA,MVY,DCA-MVY,2,2022-07-31,2022-08-07,0.0074,0.0505,0.1087,0.8068,0.0267,853.96,46,True,False,426.98,VACATION,7,July,7 days,True,1.0,383.0,0-500,,,28,21+ days
D867988,2022-08-21,1,DIRECT,PHL,MCO,PHL-MCO,1,2022-09-20,,0.0039,0.0158,0.7045,0.2411,0.0347,137.67,30,False,True,137.67,VFR,9,September,,False,,861.0,500-1000,,,80,21+ days
C444185,2022-04-13,4,DIRECT,SFO,PHL,SFO-PHL,1,2022-07-14,,0.0099,0.0355,0.7628,0.1256,0.0662,1280.0,92,False,True,320.0,VFR,7,July,,False,,2521.0,2000-3000,,,16,21+ days
E436307,2022-11-07,2,DIRECT,PNS,MCI,PNS-MCI,1,2022-11-28,,0.1327,0.0388,0.5883,0.0812,0.159,256.74,21,False,True,128.37,VFR,11,November,,False,,743.0,500-1000,,,2,15-21 days
